"","
ANALYSIS OF TRANSPLANAR MATERIALS

T-SUBSTRATE

SUMMARY:
The material henceforth named t-substrate is the naturally occurring 'floor' material of phase-space.  Samples of t-substrate were first recovered during IMMERSION-25A, when upon return to prime the samples violently [////////], exhibiting what are now known as 'plane-uneven' physical properties.  The following report will examine such variances to the best extent of our knowledge.

Refer to file EXO-M-312 for full report.","","
超平面素材の分析

基質T

概要:基質Tと呼ばれる物質は、位相空間に自然発生する「床」を構成する素材である。当初基質Tのサンプルは潜入-25A中に回収されたが、主次元に帰還すると激しく [////////]、現在の物理学において「不均一平面」として知られている特性を示した。

詳細に関してはファイルEXO-M-312を参照されたし。"
"","
IMMERSION LOG: 27A

INCIDENT REPORT:

SUMMARY:
Unforeseen EM interference source forced the team to remain in-phase between prime and sub-scape 27.  Expedition members reported observing a spheroid-entity ('PE-01') moving beneath the typically opaque t-substrate.  Interference readings and expedition testimony implies the PE-01 was a potent EM radiation source, and the origin of the interference.  After 30 min, PE-01 receded and the expedition was aborted in accordance of procedure EMER-12.  The expedition team suffered no injuries, physical or mental, during the incident.

It's become clear we have greatly underestimated the risk posed by phase immersions.  Engineering has been tasked with designing a new, improved protection suite, and has shown promising advances.  Updated emergency procedures are in-progress.

Refer to file EXO-I-271 for full report.","","
潜入ログ: 27A

事故報告: 

概要:
予期せぬ電磁干渉源により、チームは主次元と副次元-27で同相を維持し続けることを余儀なくされた。遠征隊員は、基質Tを中心に運動する回転楕円体(以下PE-01とする)の観察記録を報告した。電磁干渉の測定値と遠征隊の証言は、PE-01が強力な電磁放射線源であり干渉の原因となっていることを示唆している。30分後、PE-01は減少し、手順EMER-12に従って遠征は中止された。事故中の遠征隊への肉体的及び精神的損傷は確認されていない。

この事件によって、次元潜入によってもたらされるリスクが著しく過小評価されていることが明らかになった。新たな改善型保護スーツの設計を任された技術部からは、有望な進捗が報告されている。緊急時手順の更新作業も現在進行中である。

報告の詳細に関しては、ファイルEXO-I-271を参照されたし。"
"","
It is %s","","
それは%s"
"","
They are %s","","
それは%s"
"","
You can use <color_white>arrow keys</color> to go through search history

","","
<color_white>矢印キー</color>で検索履歴を選択できます

"
"","            There are many others out there... search for them!","","            他にも多くの地形が存在します...探してみましょう！"
"","       Chopping this vehicle:
%s","","       車両を解体する:
%s"
"","    <color_light_green>%s</color> / <color_light_green>%s</color> to select a statistic.
    <color_light_green>%s</color> to increase the statistic.
    <color_light_green>%s</color> to decrease the statistic.","","    <color_light_green>%s</color> / <color_light_green>%s</color> で値を選択。
    <color_light_green>%s</color> で値を増加。
    <color_light_green>%s</color> で値を減少。"
"","  Max: ","","最大: "
"","  Vol %s",""," 体積 %s"
""," (Anger: %d)",""," (怒り: %d)"
""," (Direction button)",""," (方向キー)"
""," (Fear: %d); ",""," (恐怖: %d); "
""," (Trust: %d); ",""," (信頼: %d); "
""," (Value: %d); ",""," (尊敬: %d); "
